	subject_ID	age	gender	site
0	sub2609	41.0	m	13
1	sub2717	55.0	m	7
2	sub358	27.0	m	2
3	sub2949	22.0	m	3
4	sub944	21.0	f	1
5	sub1075	25.0	f	1
6	sub863	70.0	f	14
7	sub1078	35.0	m	0
8	sub2047	23.0	f	0
9	sub1722	21.0	m	13
10	sub3119	50.0	f	2
11	sub2535	29.0	f	0
12	sub202	22.0	m	13
13	sub1791	42.0	f	0
14	sub2700	24.0	f	8
15	sub1796	21.0	m	8
16	sub2696	20.0	f	2
17	sub864	27.0	f	1
18	sub1117	22.0	f	2
19	sub2353	41.0	m	2
20	sub1704	28.0	m	14
21	sub3062	30.0	f	14
22	sub1454	47.0	m	2
23	sub2384	32.0	m	1
24	sub1195	43.82	m	9
25	sub2448	27.0	m	0
26	sub1174	34.0	m	13
27	sub2517	22.0	f	0
28	sub2122	20.0	f	14
29	sub2518	20.0	m	3
30	sub1638	20.0	f	16
31	sub42	41.75	f	9
32	sub3019	23.0	f	1
33	sub1356	20.0	m	8
34	sub2186	58.0	f	2
35	sub2772	40.0	f	2
36	sub986	39.0	f	2
37	sub2912	24.0	m	4
38	sub1310	28.0	f	0
39	sub1840	49.0	m	2
40	sub797	21.0	f	12
41	sub2290	26.0	m	8
42	sub1394	24.0	m	0
43	sub1119	23.0	f	12
44	sub1909	22.0	f	2
45	sub730	37.0	m	10
46	sub3085	23.0	m	8
47	sub1894	34.0	f	2
48	sub2540	33.0	m	2
49	sub538	46.71	m	9
50	sub2157	58.0	f	6
51	sub1654	22.0	f	4
52	sub626	36.42	f	9
53	sub1798	23.0	f	10
54	sub2733	26.0	m	0
55	sub2216	31.0	m	3
56	sub402	62.43	f	9
57	sub2849	19.0	m	8
58	sub2521	65.11	f	9
59	sub2552	35.0	m	10
60	sub1094	22.0	m	8
61	sub1384	56.96	m	9
62	sub810	24.0	m	2
63	sub3254	25.0	m	16
64	sub3180	24.0	f	2
65	sub1896	41.0	m	10
66	sub399	42.0	f	0
67	sub272	53.0	f	2
68	sub3115	23.0	f	4
69	sub758	20.0	f	4
70	sub19	33.14	f	9
71	sub2937	47.0	f	2
72	sub656	49.0	f	0
73	sub409	29.0	m	8
74	sub1522	29.0	f	8
75	sub1527	22.0	m	1
76	sub803	29.0	f	7
77	sub2508	34.0	f	2
78	sub2833	49.0	m	0
79	sub911	29.0	f	2
80	sub1993	21.0	m	1
81	sub2226	20.0	f	8
82	sub1809	46.0	f	14
83	sub2387	22.0	m	2
84	sub3226	55.0	m	2
85	sub2754	28.0	f	0
86	sub1574	31.9	f	9
87	sub571	28.0	f	2
88	sub1016	24.6352	f	15
89	sub767	22.0	m	8
90	sub2686	47.0	f	1
91	sub678	63.87	m	9
92	sub206	70.52	m	9
93	sub1494	37.0	f	2
94	sub3097	25.0	m	3
95	sub2254	52.0	f	2
96	sub3083	24.0	f	14
97	sub504	25.0	f	2
98	sub1039	21.0	f	14
99	sub1607	18.0	f	0
100	sub416	35.0	f	2
101	sub1951	31.96	f	9
102	sub2867	42.0	f	0
103	sub36	23.0	f	2
104	sub386	25.0	f	2
105	sub2429	31.0	m	10
106	sub1568	33.0	m	9
107	sub3145	54.66	f	9
108	sub182	23.0	f	2
109	sub1457	24.0	f	1
110	sub2303	24.0	f	2
111	sub566	47.0	f	2
112	sub2128	29.0	m	1
113	sub3039	31.58	f	9
114	sub888	22.0	m	8
115	sub476	70.5	f	9
116	sub2687	24.0	f	0
117	sub3066	59.89	f	9
118	sub629	26.0	f	2
119	sub941	28.0	f	0
120	sub1548	18.0	f	4
121	sub3032	60.97	m	9
122	sub2415	56.0	m	0
123	sub3111	19.0	m	8
124	sub1239	33.0	f	8
125	sub395	67.46	f	9
126	sub686	24.0	f	1
127	sub867	21.0	m	3
128	sub2551	50.0	f	14
129	sub615	28.0	m	3
130	sub2885	27.0	m	3
131	sub198	22.0	f	14
132	sub1525	32.0	f	8
133	sub188	55.6	f	9
134	sub2469	60.0	m	1
135	sub514	26.0	m	0
136	sub118	25.0	m	2
137	sub2769	19.0	f	4
138	sub874	26.0	f	8
139	sub3100	29.0	f	8
140	sub2709	40.0	f	2
141	sub816	24.0	f	4
142	sub2104	33.59	m	9
143	sub3273	24.0	m	8
144	sub744	47.0	f	2
145	sub2139	29.0	m	10
146	sub2482	67.0	f	14
147	sub1927	27.0	f	13
148	sub792	55.0	f	0
149	sub1444	47.72	m	9
150	sub2788	21.0	m	13
151	sub2822	43.0	m	2
152	sub1464	31.0	m	2
153	sub1145	23.0	m	1
154	sub2640	18.0	f	8
155	sub2795	24.0	m	8
156	sub793	31.0	m	0
157	sub1818	26.0	f	2
158	sub1662	23.0	m	0
159	sub3161	23.0	m	1
160	sub1572	58.77	f	9
161	sub1503	67.77	m	9
162	sub802	23.0	f	0
163	sub2775	24.0	f	7
164	sub824	25.0	f	4
165	sub745	43.0	f	2
166	sub2920	28.24	m	9
167	sub488	68.13	m	9
168	sub2172	44.0	f	2
169	sub638	21.0	m	2
170	sub2967	23.0	m	4
171	sub3264	23.0	m	8
172	sub2908	61.15	f	9
173	sub1571	55.58	f	9
174	sub1968	54.0	f	14
175	sub1509	27.0	m	1
176	sub3232	22.0	f	0
177	sub1317	71.0	m	14
178	sub144	29.0	f	0
179	sub853	56.0	f	2
180	sub1056	25.93	f	9
181	sub2282	34.0	m	3
182	sub1653	30.0	m	0
183	sub2119	57.0	m	6
