	subject_ID	age	predicted age
0	sub1670	19.0	24.704950903553794
1	sub1076	21.0	28.310941069624818
2	sub1668	36.0	41.333220810560846
3	sub2067	51.0	43.71052715283767
4	sub411	43.0	42.393958854746046
5	sub1046	23.0	25.97491325350765
6	sub940	24.0	29.693373096518002
7	sub1260	22.0	24.957307811940694
8	sub1767	18.0	23.102786379101957
9	sub751	28.0	25.019761889223076
10	sub1751	25.0	21.868251689395578
11	sub3004	41.0	38.72953441450008
12	sub2691	36.92	42.06008495633486
13	sub2852	22.0	25.83987920501349
14	sub425	30.0	30.99608229112036
15	sub1881	19.96	27.06167831682214
16	sub150	21.0	25.64193037626646
17	sub74	55.0	60.540782155013034
18	sub7	22.0	21.311916938158532
19	sub2904	33.0	43.59031604151332
20	sub193	19.0	26.697890434343748
21	sub2350	23.0	29.302781441448673
22	sub3183	59.0	51.66972751864486
23	sub449	28.0	31.81991199033527
24	sub2041	25.0	24.812111106197875
25	sub6	33.0	40.530843717420424
26	sub1695	19.0	18.0
27	sub2168	41.0	36.16867684147982
28	sub2955	45.0	35.49791240694012
29	sub2726	28.0	29.162090953242654
30	sub1453	55.0	43.51631161503937
31	sub125	43.0	40.2549211295769
32	sub3258	21.0	24.751263781383017
33	sub1323	42.0	39.293900316914545
34	sub1054	31.81	31.5419998242065
35	sub693	22.0	30.25871753363444
36	sub2611	29.0	26.66055026392368
37	sub1220	24.0	26.217932516880495
38	sub2899	65.0	67.19850181176807
39	sub929	48.0	53.6670838524511
40	sub2706	25.0	28.843601269332424
41	sub403	23.0	26.194201753323426
42	sub1969	23.0	23.238514568113345
43	sub650	62.96	58.952736213760176
44	sub3108	20.0	18.0
45	sub2283	60.54	56.804488142552685
46	sub734	19.0	18.0
47	sub520	64.75	64.81465444830027
48	sub218	68.47	69.40990957262747
49	sub2745	31.59	39.671728316212096
50	sub2120	31.0	27.15185778500981
51	sub3150	21.0	26.87873669248856
52	sub1103	74.0	63.20068572021191
53	sub1575	20.0	23.693467829402465
54	sub554	58.66	63.81355753740317
55	sub281	19.0	20.19997783508515
56	sub1687	33.08	27.140432495542512
57	sub3118	26.0	30.752661382354376
58	sub2936	27.0	20.010264807341258
59	sub2966	35.0	31.652803400183615
60	sub2418	18.0	19.10429153590539
61	sub720	30.0	37.743058410498264
62	sub1429	24.0	18.0
63	sub3138	39.18	41.17631472364482
64	sub2763	26.64	31.697912530059142
65	sub2632	21.0	18.0
66	sub1705	69.55	80.39394277445953
67	sub1080	18.0	18.0
68	sub2884	22.0	18.0
69	sub184	25.0	23.976986940254932
70	sub3299	49.0	48.072188499479665
71	sub2780	25.0	28.952371677375226
72	sub736	25.0	29.47732717092603
73	sub214	25.0	26.38808416986612
74	sub2031	26.0	25.62368267138899
75	sub2894	26.0	23.554334226599707
76	sub1086	57.0	75.61081470900044
77	sub2354	26.0	39.35126910139988
78	sub1451	23.0	19.8628365788405
79	sub1562	46.0	50.25564234799876
80	sub140	70.95	78.85905900890211
81	sub3048	23.0	19.99844370372702
82	sub1037	22.0	23.518992515577878
83	sub1557	19.0	18.0
84	sub1074	31.0	45.8521949659831
85	sub1440	64.66	62.24691961710923
86	sub2109	23.96	28.37569478867917
87	sub100	81.0	74.90710036279833
88	sub1754	30.0	34.07052255506878
89	sub2707	20.0	21.175696130491446
90	sub2287	28.0	28.794448219807776
91	sub2194	28.0	29.582686735618694
92	sub782	48.0	46.63348763369012
93	sub525	23.0	28.401374432960978
94	sub903	34.0	34.423573833663426
95	sub2420	22.0	23.947290034593237
96	sub849	30.67	37.35355037709596
97	sub2386	24.0	27.735907896038583
98	sub3201	64.0	45.42883059408504
99	sub1374	24.0	24.79723310837616
100	sub2024	26.0	35.16641423098062
101	sub2002	33.92	31.794387592082415
102	sub3243	19.0	29.05994656985476
103	sub3036	57.21	54.28689598710625
104	sub1113	20.0	24.482331086405424
105	sub207	21.3	27.933989263194775
106	sub1468	23.0	26.15598693409683
107	sub890	30.0	28.392067842752652
108	sub1826	46.0	33.998171611053834
109	sub2276	25.0	21.46236960511996
110	sub1288	25.0	28.891606908745956
111	sub2406	47.0	43.0710272013026
112	sub1459	22.0	18.0
113	sub883	35.45	36.477095220768746
114	sub2496	20.0	22.55683581564935
115	sub2931	34.48	42.23239833160332
116	sub22	26.0	35.14113076855446
117	sub398	54.0	43.631969117179864
118	sub1756	50.0	41.48599469744167
119	sub3033	19.0	27.315209111573125
120	sub857	21.0	28.49252083805513
121	sub807	69.0	54.34291538349461
122	sub1458	24.0	25.77127109511784
123	sub544	20.0	19.8864118120442
124	sub1470	68.48	59.29538803334762
125	sub3024	31.0	30.913210057821374
126	sub991	19.0	18.0
127	sub1412	35.0	34.62912089006258
128	sub1404	34.0	26.592027315042827
129	sub2713	44.0	43.45048127523714
130	sub285	59.0	61.30259233591241
131	sub3241	27.0	24.094672047394482
132	sub1034	34.0	43.965884295732934
133	sub296	22.0	23.480986323053543
134	sub1311	26.0	22.457191651474744
135	sub1701	25.0	28.95198254659735
136	sub1221	55.0	53.731426751662724
137	sub2526	56.87	57.12591944176128
138	sub614	47.0	48.73920843545656
139	sub1348	31.0	42.79895951320813
140	sub1097	90.0	90.0
141	sub2131	31.0	31.729647969646606
142	sub1226	61.34	66.98136744591065
143	sub1963	29.0	29.65033389798336
144	sub669	21.0	27.30098727778622
145	sub1684	31.46	27.647149332427574
146	sub1083	34.24	37.04252747345126
147	sub3092	34.0	41.09371208997672
148	sub412	75.97	66.41212239289925
149	sub528	28.0	26.757276859014013
150	sub1917	25.0	28.660156891194305
151	sub2634	55.22	64.3167892850175
152	sub1375	55.17	57.76482591294243
153	sub1885	47.0	43.722490329064016
154	sub2327	22.0	23.481956547792464
155	sub58	47.0	43.96871220156717
156	sub1365	35.0	35.65432684163861
157	sub830	39.38	42.447217889762754
158	sub1467	78.07	65.54175395817182
159	sub2332	30.0	27.120441138818563
160	sub932	24.0	22.09447679067179
161	sub28	24.76	28.94004245125015
162	sub2357	27.0	33.78430863662615
163	sub2413	45.0	50.17915271771798
164	sub3132	32.0	34.03585951232944
165	sub1772	54.21	47.27818472052931
166	sub1783	21.0	24.57071055684318
167	sub1278	22.0	18.0
168	sub2562	43.92	46.01418432441514
169	sub62	26.0	23.674017722270577
170	sub2331	36.0	34.670537025547304
171	sub866	26.93	32.47338298904887
172	sub2516	41.0	30.838194753833335
173	sub1597	24.0	26.377551558318913
174	sub1170	48.0	44.05109782562758
175	sub851	19.0	18.0
176	sub2305	18.0	18.03749290317191
177	sub1125	31.0	36.05578540392125
178	sub210	49.0	37.19563763359892
179	sub91	52.0	46.173853412181955
180	sub1011	32.42	32.77199777809855
181	sub2326	19.0	26.1692235264496
182	sub926	62.0	64.64973331449218
183	sub432	28.0	21.366679081165415
184	sub2990	28.0	27.223972822982063
185	sub953	21.8097	18.0
186	sub1120	20.0	28.230453217678217
187	sub2561	64.0	63.20358851238288
188	sub1808	41.95	40.2768943243278
189	sub1114	23.0	32.560558137357106
190	sub1822	40.0	36.944220227472755
191	sub1821	22.0	30.368709763248802
192	sub2858	24.0	24.187132754980297
193	sub1273	72.0	67.6202037736617
194	sub1533	56.0	42.86494663402081
195	sub634	27.0	21.593700316150347
196	sub2677	32.0	35.660663869222475
197	sub1194	34.0	37.74614131216876
198	sub67	31.0	25.970859459539128
199	sub1646	18.0	20.58702629024137
200	sub546	21.0	20.156787770816294
201	sub2753	41.06	42.578742991675966
202	sub364	29.0	29.40689643492132
203	sub3186	54.49	57.56942484440751
204	sub461	53.0	53.111586681652255
205	sub2618	43.16	42.825942727401156
206	sub1215	23.0	18.0
207	sub2348	63.0	69.73047580926195
208	sub1839	22.0	18.0
209	sub1719	20.17	25.624080932788814
210	sub1300	30.42	34.6340303594794
211	sub2217	23.0	18.0
212	sub3027	29.0	34.947376996168344
213	sub2117	33.0	33.380877505852
214	sub966	21.0	19.051893904428283
215	sub1841	27.0	28.543678107893896
216	sub945	23.0	37.21007028122821
217	sub2944	27.71	28.667856862018738
218	sub486	39.0	30.001787768110802
219	sub1286	21.0	26.720715012991235
220	sub1121	19.0	18.0
221	sub2672	33.0	29.792625048003714
222	sub68	18.0	18.0
223	sub2080	23.0	31.297743456385064
224	sub2277	59.0	59.2310565990916
225	sub2779	53.0	53.37000534525268
226	sub1328	44.0	45.2067851711914
227	sub696	48.0	45.42071233123042
228	sub2847	69.72	59.64988492107895
229	sub2929	33.0	21.08056481998355
230	sub2230	19.0	23.21587636939293
231	sub942	59.74	52.57688943480443
232	sub2646	25.19	23.863180143700077
233	sub2090	24.9	37.287565406794414
234	sub1417	19.0	18.906261635555524
235	sub497	21.15	38.9295016033644
236	sub1588	71.0	56.34228578731708
237	sub2201	37.1	38.9794419282467
238	sub882	26.0	32.38504442807843
239	sub1925	33.35	31.581502101079963
240	sub2536	41.3	39.543274255857426
241	sub2581	42.0	43.57475497410596
242	sub332	62.68	59.55353687160604
243	sub2237	24.0	26.579092388031853
244	sub29	47.0	38.93115105445449
245	sub3058	50.0	32.82692787751384
246	sub602	42.37	50.853068050709766
247	sub2215	31.0	25.70864960344315
248	sub1606	25.0	27.931146598798108
249	sub44	23.62	18.0
250	sub454	30.44	24.131127143515727
251	sub3130	18.0	20.71269012812772
252	sub2208	25.0	26.22731943940161
253	sub682	24.88	22.482737467090004
254	sub865	23.49	25.938349820456637
255	sub1978	36.0	24.540670176887573
256	sub93	26.0	25.463803676061247
257	sub195	21.0	20.834279407054595
258	sub1950	19.0	18.540648778592725
259	sub2558	24.0	24.37444976133756
260	sub1970	19.0	19.48562834580261
261	sub357	19.0	21.63947235777195
262	sub646	58.0	53.773520119551534
263	sub1209	23.0	24.0031141349842
264	sub876	63.54	63.10960391895205
265	sub3127	28.0	24.78659416527134
266	sub1921	23.0	27.96341145445203
267	sub1757	42.0	29.747962914626072
268	sub178	22.0	22.828082827818974
269	sub254	58.0	58.996334413322614
270	sub2261	70.0	68.02033136370446
271	sub1407	26.0	27.471160488783056
272	sub2947	21.0	18.0
273	sub1952	54.0	51.02098818095473
274	sub2705	20.0	21.24042965624048
275	sub3297	22.0	21.174851974866755
276	sub3055	55.0	53.473752634582155
277	sub843	26.0	32.89225805424084
278	sub2245	21.0	18.0
279	sub718	36.47	37.30879985107239
280	sub2958	22.0	18.0
281	sub1693	50.65	39.360392673796554
282	sub2013	31.13	37.68003840801575
283	sub1051	50.0	59.29855826774528
284	sub138	44.0	47.69662330904757
285	sub1478	52.0	48.06034627698372
286	sub1123	47.0	46.532744529734
287	sub564	30.0	20.926066771544896
288	sub192	30.0	29.163142935024183
289	sub2793	58.99	64.87196336757424
290	sub224	60.02	53.74026913616362
291	sub749	31.0	25.36995280515984
292	sub452	30.0	24.615905759999436
293	sub2771	25.0	25.08931561846802
294	sub340	22.0	30.206541529262353
