	subject_ID	age	predicted age
0	sub2609	41.0	43.92464799354965
1	sub2949	22.0	18.0
2	sub944	21.0	18.0
3	sub863	70.0	51.81068359830099
4	sub2047	23.0	27.61108418087195
5	sub2535	29.0	32.11243715049837
6	sub2696	20.0	30.434536992319472
7	sub1704	28.0	38.155091269818534
8	sub2448	27.0	25.763853295110216
9	sub2122	20.0	18.0
10	sub1310	28.0	22.51131365960422
11	sub1840	49.0	37.65828808610923
12	sub797	21.0	27.247735839186525
13	sub3085	23.0	28.721115905055647
14	sub1894	34.0	37.44178468719891
15	sub2540	33.0	31.527111489633008
16	sub1654	22.0	20.017196792709775
17	sub402	62.43	62.74641445706843
18	sub2849	19.0	25.0
19	sub399	42.0	37.823490630160315
20	sub19	33.14	37.79297291606266
21	sub2937	47.0	33.91262307738605
22	sub1527	22.0	20.173225987156776
23	sub803	29.0	33.538387490951344
24	sub2508	34.0	31.359074744195873
25	sub911	29.0	39.32873271173218
26	sub2387	22.0	18.0
27	sub2754	28.0	24.550476745761323
28	sub3083	24.0	26.94184943441342
29	sub36	23.0	28.47140642780615
30	sub1568	33.0	31.31159022074697
31	sub566	47.0	54.15639041707782
32	sub476	70.5	66.5120148054497
33	sub2687	24.0	28.922929662147602
34	sub395	67.46	61.5200434433113
35	sub867	21.0	33.66545085118006
36	sub1525	32.0	18.0
37	sub2769	19.0	23.63955038154257
38	sub744	47.0	43.849922719751554
39	sub2139	29.0	31.85661380394675
40	sub1927	27.0	22.911911819758423
41	sub2640	18.0	18.640281678743882
42	sub1572	58.77	55.290154381428415
43	sub802	23.0	26.88261906958588
44	sub2775	24.0	24.32891031866547
45	sub745	43.0	39.73365002399425
46	sub2967	23.0	27.916428048282846
47	sub853	56.0	55.04054780529716
48	sub1653	30.0	24.43470185241579
49	sub2119	57.0	51.942626440314164
50	sub505	22.0	20.029100244902885
51	sub2161	24.0	28.190492746257227
52	sub1223	26.0	29.166858917922063
53	sub99	35.0	34.67159072494463
54	sub588	65.33	50.43264062114958
55	sub282	23.0	25.746311435196326
56	sub1408	37.0	34.256229419227815
57	sub1994	21.0	28.879368517116482
58	sub1869	80.0	74.1982570676521
59	sub2808	21.0	28.957692188095344
60	sub1381	22.0	25.0
61	sub483	54.61	57.536916467714015
62	sub4	28.0	27.8404135131809
63	sub133	28.16	33.16916231727121
64	sub747	20.0	21.745049131411726
65	sub2171	62.25	56.75666354292381
66	sub305	21.0	22.34915838808002
67	sub2026	30.0	28.15254247016164
68	sub1964	32.0	19.65083036343797
69	sub1800	44.48	35.800465551774515
70	sub2030	39.0	38.271246002017214
71	sub799	41.51	39.964276285804864
72	sub1150	33.0	36.67209855924856
73	sub2075	66.91	57.6130976903278
74	sub1262	23.0	20.15409789528379
75	sub229	29.34	27.778667489373696
76	sub1193	28.85	33.868214781030694
77	sub1324	21.0	20.4406358821278
78	sub3240	24.7666	19.61549630779391
79	sub834	42.63	42.67397683618224
80	sub1036	18.0	18.0
81	sub2459	17.0	20.912193260944086
82	sub586	26.0	27.54279181711265
83	sub1702	22.0	23.301600866813637
84	sub2692	23.0	26.435204700294356
85	sub787	26.0	32.11279508492854
86	sub494	50.57	67.66824069860442
87	sub3164	63.0	56.87730085407568
88	sub493	38.0	32.579190819966435
89	sub946	18.0	18.0
90	sub1554	24.0	37.9493790149677
91	sub3126	63.84	61.9838795663938
92	sub694	75.0	65.52143021794265
93	sub1191	30.0	26.396455067622334
94	sub1376	20.0	18.0
95	sub3170	58.0	52.487167434714074
96	sub72	43.0	37.71859414214415
97	sub203	66.33	70.24534188792214
98	sub2801	26.0	21.997608831180763
99	sub695	42.0	57.29001451131014
100	sub913	22.43	23.909461958134834
101	sub3272	22.0	32.55121049112844
102	sub249	48.0	48.06468855838168
103	sub1107	43.0	48.86868336158218
104	sub1930	19.0	22.153079059868297
105	sub2162	21.0	27.882932920767423
106	sub407	23.0	26.981115368348576
107	sub391	25.0	24.625
108	sub334	24.0	24.625
109	sub137	43.0	34.629607713924806
110	sub3279	33.0	38.79896390228915
111	sub168	21.0	22.997072199492003
112	sub707	22.0	34.682258573061894
113	sub1688	19.0	18.0
114	sub1795	23.0	25.0
115	sub1903	28.0	31.82367515242573
116	sub294	22.53	28.170200734652816
117	sub831	56.0	40.677218802652014
118	sub1948	23.0	25.0
119	sub145	33.0	29.31250580877954
120	sub2888	33.0	33.39740839380352
121	sub705	35.0	24.940435881443854
122	sub563	21.0	25.63886877789387
123	sub2637	24.62	25.070125942913428
124	sub1463	20.0	18.0
125	sub209	51.0	35.17993844594738
126	sub291	46.0	30.560752196084756
127	sub1361	25.0	27.233930346404385
128	sub1666	51.0	49.04919164009507
129	sub1502	64.0	52.24959910151804
130	sub2400	37.0	46.270303722547105
131	sub3210	30.0	30.43221883577599
132	sub1973	24.28	33.58061601588148
133	sub3202	25.0	31.81810130784222
134	sub2057	44.0	45.51424666176863
135	sub2907	28.0	33.45247742655177
136	sub1110	62.74	67.20859553187012
137	sub1786	60.0	45.20517999447507
138	sub2141	25.0	22.5510962698474
139	sub1019	18.0	26.552994160124292
140	sub551	57.0	39.712011465069075
141	sub1678	35.41	28.23055211486831
142	sub1146	21.0	24.625
143	sub96	61.0	55.62185389599657
144	sub189	29.0	23.190137510345103
145	sub1198	23.0	24.29750984931355
146	sub2898	23.0	26.418554064196847
147	sub1904	20.0	24.224257521174472
148	sub2841	20.0	35.91879050449895
149	sub1222	19.0	24.625
150	sub3081	21.0	28.81987912191922
151	sub413	23.0	21.359774025379544
152	sub1906	28.0	18.104503438078616
153	sub2875	21.0	18.0
154	sub2770	21.38	24.861920440330216
155	sub2663	29.0	24.625
156	sub1140	29.0	36.891686538380334
157	sub861	55.0	39.19055167837508
158	sub2854	66.02	67.17530335907645
159	sub1674	23.0	29.402320788401802
160	sub2799	20.0	21.773907585832724
161	sub2856	22.0	21.256240750128775
162	sub367	83.56	82.8002825251589
163	sub3021	30.0	40.68961102770816
164	sub592	46.0	43.125841403316436
165	sub962	22.0	39.491204495118886
166	sub1887	29.0	30.063057571579854
167	sub1599	28.44	24.077872230100503
168	sub377	23.0	25.240647945008455
169	sub1261	72.35	66.30988905035323
170	sub670	77.0	70.08142044655074
171	sub1029	21.0	22.47415180830503
172	sub1761	39.0	32.66116576960106
173	sub408	59.0	43.704496439586016
174	sub1401	36.0	39.970210908465454
175	sub1043	83.46	67.60347983982234
176	sub756	34.37	29.634561588210126
177	sub1781	22.0	30.569835082864508
178	sub3104	59.84	70.8126003741429
179	sub1859	25.0	27.664501114128733
180	sub152	28.0	25.0
181	sub2471	25.0	18.00115875343102
182	sub2766	55.0	54.919630728426434
183	sub589	19.0	20.562333958218566
184	sub3072	20.0	24.035285357493045
185	sub1028	43.0	43.032105934766754
186	sub1856	22.0	26.850452971331343
187	sub689	58.28	59.99084408404827
188	sub2183	22.0	27.73206507261407
189	sub647	52.0	60.714158747365765
190	sub3149	47.0	46.04709507225436
191	sub1276	49.0	34.53388650877866
192	sub2762	22.0	25.793034042869202
193	sub105	19.0	22.534418345478123
194	sub2752	22.0	26.661772021744433
195	sub3246	57.0	57.149390757662964
196	sub1126	50.0	44.9808212165537
197	sub3291	51.0	35.24814829305277
198	sub1148	28.0	27.73642700373133
199	sub2361	23.0	22.817252103455736
200	sub2679	39.4	37.79627264659866
201	sub2299	30.0	29.800835624229613
202	sub2510	26.0	28.751317169521492
203	sub414	67.85	59.56537963623757
204	sub1151	22.0	30.6586804225283
205	sub898	23.0	27.42790421295529
206	sub555	22.0	26.81128796500162
207	sub2036	38.77	37.573347339038015
208	sub1002	19.0	18.91073737013651
209	sub1385	55.0	45.58711729851719
210	sub2500	18.0	18.0
211	sub428	19.0	28.56735196269799
212	sub2610	36.0	25.0
213	sub1857	27.0	26.060878738779103
214	sub153	45.0	44.06016599802246
215	sub2267	49.04	46.13759284663151
216	sub3158	24.85	42.79962083009692
217	sub308	47.0	49.652328331139636
218	sub2928	19.0	25.0
219	sub341	24.0	18.660368026109914
220	sub253	20.0	25.610498705832462
221	sub1542	36.0	34.965341334278726
222	sub473	47.0	42.56776526960763
223	sub1672	28.46	32.36673466788627
224	sub213	65.26	60.95585436260851
225	sub1811	50.0	44.780112599047875
226	sub2529	78.0	71.9752876172112
227	sub1041	22.0	18.0
228	sub2554	20.0	21.949004321627747
229	sub620	29.0	25.0
230	sub1999	19.0	26.829081559423962
231	sub3217	67.82	56.08098988507326
232	sub2777	18.0	18.0
233	sub2003	20.0	18.0
234	sub1017	51.0	51.283862878375196
235	sub107	39.0	28.689122275203182
236	sub2112	19.0	24.887334577334506
237	sub1711	32.3	39.55225271013776
238	sub3249	44.0	35.58124362343782
239	sub2006	50.0	39.31565581899847
240	sub2701	21.0	34.360759713119485
241	sub1862	22.0	25.561587479824702
242	sub817	34.0	36.56794929964682
243	sub1976	28.0	25.0
244	sub2098	20.0	26.717254526132898
245	sub3034	73.18	70.20745207654912
246	sub1834	23.0	22.096360381384535
247	sub15	24.4079	36.18148525466476
248	sub1427	20.0	23.454010148645814
249	sub353	23.0	29.593528760891637
250	sub2478	27.0	32.85974599187346
251	sub2525	60.46	59.60131297700935
252	sub2579	23.0	24.66309032351665
253	sub1371	86.0	71.79569425303609
254	sub2297	31.0	35.53726088194066
255	sub330	66.53	58.90581160516066
256	sub2802	47.0	39.28324646779438
257	sub1738	20.0	24.42669137738053
258	sub225	48.0	45.33535121486167
259	sub2814	24.0	25.092866819503932
260	sub2869	53.67	54.79902748284342
261	sub2446	46.0	41.672050855706864
262	sub2284	65.41	61.849460651039344
263	sub2408	21.0	25.0
264	sub92	27.0	25.999033748796315
265	sub57	24.0	25.0
266	sub617	25.0	35.279426527047825
267	sub2670	55.58	57.64894893721519
268	sub1604	32.0	40.59731066635515
269	sub902	53.0	50.204565859473455
270	sub1912	29.0	30.772073717606794
271	sub1299	31.0	32.342130759192976
272	sub1807	21.0	23.36479414615068
273	sub1105	44.0	41.52027048042191
274	sub1129	21.0	28.71866669960273
275	sub1775	21.0	25.0
276	sub2539	56.0	49.192225858606996
277	sub2456	23.0	25.657908600557285
278	sub1823	74.0	68.45783583764384
279	sub559	22.0	25.31950083955558
280	sub2074	19.0	21.56840248938712
281	sub396	50.02	44.78994457124006
282	sub2447	18.0	21.3973271149298
283	sub356	23.0	27.10578911311685
284	sub2978	73.54	60.13930099490636
285	sub2599	22.0	24.609446773561366
286	sub845	22.0	29.089605218456605
287	sub821	45.3	37.45229871399935
288	sub691	39.0	24.625
289	sub292	37.0	27.776173112964962
290	sub1244	20.0	25.39274215042662
291	sub2043	60.91	50.10456721336737
292	sub666	25.0	33.65721924002768
293	sub3009	70.71	55.78803420275066
294	sub2238	21.0	19.65636029872328
295	sub642	32.0	40.202416546869905
296	sub1022	85.74	74.85258195133505
297	sub594	29.26	33.157740562782074
298	sub3037	20.0	25.768760618206223
299	sub1268	26.0	29.226929421881117
300	sub1680	28.0	19.100717665348192
301	sub3270	23.0	23.281155714402935
302	sub1448	71.0	54.00164646370323
303	sub316	22.0	32.327420439632
304	sub98	74.0	74.36522964206219
305	sub2957	35.0	41.08708717380511
306	sub1891	55.0	41.30897579086966
307	sub699	33.0	27.368869344501086
308	sub2860	61.59	66.04088880626406
309	sub1589	29.0	26.550640652777027
310	sub1027	33.92	34.37353367378402
311	sub1902	24.0	25.94161848899453
312	sub227	35.81	40.656394082210674
313	sub2467	20.0	25.14480307588466
314	sub2638	50.0	42.727385941465165
315	sub371	27.0	28.643269713554268
316	sub1556	28.0	30.212902573938216
317	sub2014	61.0	55.18201037833311
318	sub1379	36.0	30.60408630204015
319	sub2058	28.0	26.17172210785683
320	sub823	52.0	43.24414752336805
321	sub2727	24.0	28.035784330026083
322	sub2759	23.0	30.94646591864541
323	sub2930	71.66	69.5377075131874
324	sub1727	23.0	20.940293568834996
325	sub116	23.0	36.19168543737842
326	sub306	63.88	57.13081674924087
327	sub174	33.0	30.566815217149987
328	sub3284	54.0	42.82114873902851
329	sub55	28.0	25.849046733970987
330	sub361	50.0	44.31218321484685
331	sub3175	35.02	33.50568812074169
332	sub237	18.0	20.12600537161631
333	sub2224	27.0	25.891462979139284
334	sub2950	26.0	26.126564553313024
335	sub1340	70.25	66.45486339258224
336	sub1201	76.78	67.93953246020638
337	sub3012	25.66	21.96001325274161
338	sub1229	24.2984	29.956594481575046
339	sub1128	23.0	36.37984496124031
340	sub275	30.0	25.941783172101687
341	sub915	44.85	52.17193728114943
342	sub2528	28.12	29.577536072959695
343	sub2378	50.0	47.9026307908288
344	sub2901	58.0	49.66165568885199
345	sub3163	59.22	50.21096516591019
346	sub2040	23.0	23.90316993196482
347	sub2829	21.0	30.460361938626853
348	sub170	28.0	30.28722799412477
349	sub2544	38.94	47.06805469629197
350	sub3230	21.0	26.287981501499054
351	sub3103	26.0	26.80616387243439
352	sub250	60.41	61.9344394871596
353	sub1228	20.0	26.15179270481446
354	sub3087	57.0	45.112261784735544
355	sub325	27.0	38.1982821222714
356	sub1590	48.0	37.58649773896462
357	sub2612	30.0	43.234096416959154
358	sub3160	20.0	22.661302396471562
359	sub1864	31.0	28.6735132566125
360	sub141	30.0	25.125969014235615
361	sub1536	35.0	38.777895144712964
362	sub868	48.0	35.38485360784741
363	sub572	50.0	36.288588629959385
364	sub738	75.83	72.83107400712754
365	sub2231	52.53	38.73036316341096
366	sub1263	25.0	27.529967217575766
367	sub2997	21.0	22.83997726189576
368	sub231	41.0	41.80832467329346
369	sub2868	68.85	54.74456726861228
370	sub3112	61.0	50.60222286348317
371	sub2946	55.0	55.64672032985941
372	sub1585	70.11	68.9894116563384
373	sub631	22.65	28.51437878988842
374	sub1434	32.0	30.022297041386487
375	sub532	22.0	22.531839336743225
376	sub3059	28.0	24.431366060951255
377	sub1724	52.0	50.20131492292375
378	sub2146	27.0	23.661154585095424
379	sub2835	27.0	28.56895401227164
380	sub2630	26.0	24.678050155360147
381	sub2569	19.0	23.286887173922345
382	sub674	46.37	50.67272168269229
383	sub531	49.0	39.954889957553
384	sub860	30.0	28.73933968282426
385	sub2734	21.0	20.043797311814807
386	sub267	59.0	59.947533123110084
387	sub2807	22.0	21.21174731992057
388	sub3136	45.0	44.26647531418593
389	sub1915	31.0	25.432959093902618
390	sub847	46.0	40.209010605564906
391	sub2285	25.0	20.371049602727034
392	sub190	19.0	25.179572773070966
393	sub1971	18.0	22.17866254838018
394	sub2889	67.16	55.904936703548806
395	sub2335	25.0	18.748234684248366
396	sub939	23.0	38.220475185498465
397	sub1521	22.0	25.0
398	sub2390	24.0	21.919239135644865
399	sub2678	52.0	40.320741220364376
400	sub2145	30.0	36.9142478246277
401	sub1456	74.0	54.66173691685142
402	sub39	41.0	44.36617407417227
403	sub1216	34.0	38.11575532476987
404	sub1132	67.0	59.965319206700165
405	sub2877	23.0	25.493420405918748
406	sub820	59.26	58.59796816497566
407	sub1946	44.0	43.633417747838344
408	sub2188	23.0	27.63107719481743
409	sub3209	21.0	34.68920569516509
410	sub1957	30.0	25.0
411	sub2253	19.0	18.0
412	sub1989	51.0	58.76324834675662
413	sub1241	19.0	18.0
414	sub1771	30.0	27.970029555543597
415	sub1629	26.0	24.181737495907605
416	sub1341	30.0	39.36197304002021
417	sub990	20.0	20.601865133437848
418	sub1553	20.0	23.479417738342512
419	sub1042	30.0	28.137487757792947
420	sub1369	51.0	46.07350272927135
421	sub1344	24.0	18.0
422	sub2578	18.0	30.47814077445654
423	sub2249	45.0	42.96005583308564
424	sub2442	44.0	43.29754127695643
425	sub1676	20.0	26.409818113581103
426	sub2066	27.0	25.673426661042633
427	sub2694	42.0	37.04976902799552
428	sub2786	28.0	32.5850443393284
429	sub2617	21.0	31.502918645190967
430	sub3287	21.0	31.9370056754506
431	sub3099	52.0	61.592545697627905
432	sub1060	69.0	57.63800080319108
433	sub1501	40.0	38.195227370715905
434	sub456	25.0	25.06855286509991
435	sub872	42.0	42.109530855585994
436	sub1731	19.0	29.587168802198853
437	sub2570	26.0	37.53560712932444
438	sub2840	30.0	35.285281273468975
439	sub2760	29.0	30.70021103581916
440	sub2751	51.0	47.994231707406236
441	sub352	20.0	18.0
442	sub1889	32.0	32.849477485637486
443	sub2205	28.57	30.496500836140747
444	sub806	34.0	52.68308669316891
445	sub3218	46.0	38.95912120393107
446	sub2077	29.0	27.041205426865083
447	sub18	24.85	27.816019925494324
448	sub1393	34.0	29.95684043158149
449	sub1088	72.09	64.56524251077906
450	sub2081	27.0	21.838568699336328
451	sub343	65.0	59.21808918818119
452	sub3013	25.53	21.94875161294835
453	sub1518	61.02	62.105995618549464
454	sub1143	32.0	30.62115284636365
455	sub410	61.0	48.56223496871386
456	sub2209	28.51	30.598566015385792
457	sub1079	28.0	25.33807212184417
458	sub1116	58.0	49.06466269609866
459	sub2589	37.0	37.071096005088954
460	sub1015	40.04	29.881886723916942
461	sub3060	20.0	21.548032345462097
462	sub1482	21.0	24.857830021618533
463	sub2302	24.0	32.6404415813055
464	sub2091	23.0	25.22147967435749
465	sub200	40.0	36.301020984152025
466	sub1092	21.0	29.064504552068477
467	sub1081	20.0	25.597100335776723
468	sub791	21.0	35.9056111378707
469	sub2344	62.09	54.0720535163962
470	sub1315	24.0	35.025881094145696
471	sub1138	20.0	30.806670106196428
472	sub984	18.0	18.0
473	sub2462	59.0	65.44619637146826
474	sub3229	45.0	37.518596031649814
475	sub841	44.0	40.97464264889462
476	sub312	22.41	24.247275883733913
477	sub368	80.0	72.63385401383363
478	sub1349	46.0	32.81848555235671
479	sub65	42.0	37.23633070519961
480	sub86	44.88	44.515209021694865
481	sub1350	21.0	34.50293260962159
482	sub2768	18.0	22.671534957269365
483	sub2951	58.78	53.91356799985905
484	sub1793	24.6133	23.331053133713006
485	sub1352	40.0	41.62758199907129
486	sub1500	64.27	55.94992959136602
487	sub891	26.0	24.876656483994715
488	sub1532	22.0	26.286694274818437
489	sub578	25.0	25.31590060252349
490	sub804	21.0	24.909345584893863
491	sub1591	25.0	29.556080044619158
492	sub1835	25.0	36.35734966504017
493	sub1721	64.0	54.76620515110046
494	sub3234	33.0	34.12713889176299
495	sub1769	23.0	25.73678931624901
496	sub1354	19.0	27.397951645931478
497	sub870	55.66	45.896525022329435
498	sub2376	18.0	19.56401783455828
499	sub2533	25.0	26.213292962554938
500	sub608	57.0	51.79768918839439
501	sub1144	50.52	40.632770980122366
502	sub244	69.07	62.82867965661152
503	sub1436	44.0	38.28388940155856
504	sub1716	20.0	25.0
505	sub384	24.0	27.228620960425324
506	sub1707	22.0	21.5813807403675
507	sub808	41.2	32.19682152228216
508	sub3035	41.12	44.43184636875741
509	sub3296	43.08	42.56652036612795
510	sub1540	30.89	27.854329907979412
511	sub3255	71.0	79.40951076430181
512	sub286	29.0	35.833720346462876
513	sub1461	25.0	33.735552933259406
514	sub2196	72.01	74.57603591816101
515	sub2278	26.0	25.0
516	sub387	18.0	30.09630318635471
517	sub653	68.12	63.721436990906646
518	sub567	25.0	28.411722953808216
519	sub1901	26.0	24.448548885281205
520	sub947	29.0	25.0
521	sub34	52.0	49.20403022593256
522	sub3030	22.0	18.0
523	sub1766	70.14	65.2894998408027
524	sub2582	20.0	32.28868040945574
525	sub1718	40.0	28.196882219387582
526	sub485	41.0	25.33237323377076
527	sub1169	23.0	27.83819409665633
528	sub2498	23.0	21.435343094475535
529	sub1469	43.0	45.436913053124265
530	sub161	41.0	32.25788281761644
531	sub2385	33.59	32.82487581666479
532	sub1235	22.0	32.85055820312211
